# wavelength(nm) intensity(au)
6.001319999999999482e+02 4.785000000000000142e+01
6.003880000000000337e+02 6.285000000000000142e+01
6.006449999999999818e+02 6.185000000000000142e+01
6.009009999999999536e+02 6.085000000000000142e+01
6.011570000000000391e+02 5.185000000000000142e+01
6.014130000000000109e+02 7.284999999999999432e+01
6.016699999999999591e+02 5.785000000000000142e+01
6.019260000000000446e+02 7.884999999999999432e+01
6.021820000000000164e+02 5.485000000000000142e+01
6.024389999999999645e+02 8.184999999999999432e+01
6.026950000000000500e+02 6.285000000000000142e+01
6.029510000000000218e+02 6.385000000000000142e+01
6.032069999999999936e+02 5.685000000000000142e+01
6.034640000000000555e+02 7.984999999999999432e+01
6.037200000000000273e+02 6.285000000000000142e+01
6.039759999999999991e+02 6.185000000000000142e+01
6.042319999999999709e+02 6.584999999999999432e+01
6.044890000000000327e+02 5.685000000000000142e+01
6.047450000000000045e+02 6.984999999999999432e+01
6.050009999999999764e+02 6.285000000000000142e+01
6.052569999999999482e+02 6.185000000000000142e+01
6.055130000000000337e+02 5.385000000000000142e+01
6.057699999999999818e+02 7.784999999999999432e+01
6.060259999999999536e+02 7.284999999999999432e+01
6.062820000000000391e+02 7.684999999999999432e+01
6.065380000000000109e+02 6.884999999999999432e+01
6.067939999999999827e+02 8.184999999999999432e+01
6.070499999999999545e+02 7.184999999999999432e+01
6.073060000000000400e+02 8.084999999999999432e+01
6.075629999999999882e+02 7.984999999999999432e+01
6.078189999999999600e+02 8.084999999999999432e+01
6.080750000000000455e+02 7.384999999999999432e+01
6.083310000000000173e+02 7.584999999999999432e+01
6.085869999999999891e+02 6.484999999999999432e+01
6.088429999999999609e+02 8.384999999999999432e+01
6.090990000000000464e+02 7.484999999999999432e+01
6.093550000000000182e+02 9.384999999999999432e+01
6.096109999999999900e+02 9.184999999999999432e+01
6.098669999999999618e+02 8.384999999999999432e+01
6.101230000000000473e+02 7.984999999999999432e+01
6.103790000000000191e+02 8.384999999999999432e+01
6.106349999999999909e+02 9.484999999999999432e+01
6.108909999999999627e+02 1.018499999999999943e+02
6.111470000000000482e+02 8.884999999999999432e+01
6.114030000000000200e+02 8.884999999999999432e+01
6.116589999999999918e+02 1.088499999999999943e+02
6.119149999999999636e+02 1.028499999999999943e+02
6.121710000000000491e+02 1.188499999999999943e+02
6.124270000000000209e+02 1.058499999999999943e+02
6.126829999999999927e+02 1.078499999999999943e+02
6.129389999999999645e+02 1.088499999999999943e+02
6.131950000000000500e+02 1.328499999999999943e+02
6.134510000000000218e+02 9.684999999999999432e+01
6.137069999999999936e+02 1.228499999999999943e+02
6.139629999999999654e+02 1.258499999999999943e+02
6.142190000000000509e+02 1.248499999999999943e+02
6.144740000000000464e+02 1.238499999999999943e+02
6.147300000000000182e+02 1.278499999999999943e+02
6.149859999999999900e+02 1.418499999999999943e+02
6.152419999999999618e+02 1.328499999999999943e+02
6.154980000000000473e+02 1.378499999999999943e+02
6.157540000000000191e+02 1.288499999999999943e+02
6.160099999999999909e+02 1.558499999999999943e+02
6.162649999999999864e+02 1.418499999999999943e+02
6.165209999999999582e+02 1.458499999999999943e+02
6.167770000000000437e+02 1.528499999999999943e+02
6.170330000000000155e+02 1.548499999999999943e+02
6.172889999999999873e+02 1.608499999999999943e+02
6.175439999999999827e+02 1.648499999999999943e+02
6.177999999999999545e+02 1.408499999999999943e+02
6.180560000000000400e+02 1.648499999999999943e+02
6.183120000000000118e+02 1.448499999999999943e+02
6.185679999999999836e+02 1.628499999999999943e+02
6.188229999999999791e+02 1.438499999999999943e+02
6.190789999999999509e+02 1.608499999999999943e+02
6.193350000000000364e+02 1.408499999999999943e+02
6.195900000000000318e+02 1.628499999999999943e+02
6.198460000000000036e+02 1.588499999999999943e+02
6.201019999999999754e+02 1.858499999999999943e+02
6.203579999999999472e+02 2.048499999999999943e+02
6.206130000000000564e+02 2.038499999999999943e+02
6.208690000000000282e+02 2.078499999999999943e+02
6.211250000000000000e+02 2.128499999999999943e+02
6.213799999999999955e+02 2.168499999999999943e+02
6.216359999999999673e+02 2.218499999999999943e+02
6.218920000000000528e+02 2.048499999999999943e+02
6.221470000000000482e+02 2.268499999999999943e+02
6.224030000000000200e+02 2.378499999999999943e+02
6.226580000000000155e+02 2.578500000000000227e+02
6.229139999999999873e+02 2.498499999999999943e+02
6.231699999999999591e+02 2.708500000000000227e+02
6.234249999999999545e+02 2.968500000000000227e+02
6.236810000000000400e+02 3.048500000000000227e+02
6.239360000000000355e+02 2.908500000000000227e+02
6.241920000000000073e+02 2.918500000000000227e+02
6.244479999999999791e+02 2.968500000000000227e+02
6.247029999999999745e+02 2.708500000000000227e+02
6.249589999999999463e+02 3.108500000000000227e+02
6.252140000000000555e+02 3.528500000000000227e+02
6.254700000000000273e+02 3.698500000000000227e+02
6.257250000000000227e+02 3.898500000000000227e+02
6.259809999999999945e+02 4.318500000000000227e+02
6.262359999999999900e+02 4.198500000000000227e+02
6.264919999999999618e+02 4.068500000000000227e+02
6.267469999999999573e+02 4.018500000000000227e+02
6.270030000000000427e+02 4.008500000000000227e+02
6.272580000000000382e+02 4.308500000000000227e+02
6.275140000000000100e+02 4.478500000000000227e+02
6.277690000000000055e+02 4.778500000000000227e+02
6.280240000000000009e+02 4.988500000000000227e+02
