 
HGHT TEMP
m C
 
75 
732 
1495 
2546 11.2
2743 9.3
2813 8.6
3031 10.4
3136 9.8
3353 8.2
3610 6.4
3658 6.4
3962 6.2
3979 6.2
4122 5.2
4267 4.3
4321 4.0
4402 3.8
4443 3.2
4511 3.4
4832 1.0
4877 1.3
4917 1.6
5120 0.0
5182 -0.6
5791 -6.2
5844 -6.7
5860 -6.9
6002 -7.7
6065 -6.9
6096 -7.0
6401 -7.8
6645 -8.5
6662 -8.5
6706 -8.8
7010 -11.1
7315 -13.3
7580 -15.3
7620 -15.6
7925 -18.2
7983 -18.7
8343 -19.9
8364 -19.9
8534 -21.4
8839 -24.2
9144 -27.0
9311 -28.5
9449 -29.5
9680 -31.1
9823 -32.3
10058 -33.7
10369 -35.5
10668 -38.2
10868 -40.1
10950 -40.1
11005 -41.3
11278 -43.1
11397 -43.9
11659 -46.1
11887 -48.0
12398 -52.3
12430 -52.7
13106 -58.9
13348 -61.1
13411 -61.6
14021 -66.2
14220 -67.7
14674 -71.9
14760 -71.5
15240 -72.4
15545 -73.0
15589 -73.1
15850 -75.1
16590 -80.7
16764 -82.3
17569 -89.5
17678 -87.9
17983 -83.5
17997 -83.3
18246 -84.7
18288 -82.6
18337 -80.1
18560 -78.1
18593 -77.5
19002 -70.1
19202 -69.5
19392 -68.9
19507 -69.0
19812 -69.4
20422 -70.0
20489 -70.1
20560 -69.9
21336 -65.9
21641 -64.3
21946 -62.7
22144 -61.7
22250 -61.9
22860 -62.9
23165 -63.4
23244 -63.5
23680 -61.1
24079 -59.8
25603 -54.7
25664 -54.5
26210 -56.9
26518 -58.9
29922 -81.1
 
